Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,Type of target,Sector,Target Start Year,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Estimated business as usual absolute emissions in target year (metric tonnes CO2e),Base year emissions per intensity unit (metric tonnes CO2e per denominator),​Intensity unit (emissions per),Percentage of target achieved so far,Comment,Population,Population Year,City Location,Last update,Water 2014 - Number of drivers
2018,43937,Wellington City Council,Wellington,New Zealand,Southeast Asia and Oceania,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,,2001,1105654,40,2030,,,,,,209102,2017,"(-41.2865, 174.776)",2019-06-06T13:19:47.747,
2018,50555,City of Hamilton,Hamilton,Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2006,2006,23087326,10,2012,,,,,Targets achieved in 2011.,550700,2015,"(43.25, -79.8661)",2019-06-06T13:19:47.747,42
2018,54637,Alcaldía de Cuenca,Cuenca,Ecuador,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Waste,,2017,60000,,,,,,,Planta de biogas,505585,2010,"(-2.90841, -79.0048)",2019-06-06T13:19:47.747,176
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Waste,2018,2004,515794,100,2050,,,,13,The percentage of target achieved so far is calculated on 2014 data,2265886,2015,"(48.8566, 2.35222)",2019-06-06T13:19:47.747,44
2018,36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,2369829,2015,"(3.45164, -76.532)",2019-06-06T13:19:47.747,146
2018,50560,City of Oakland,Oakland,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Transportation,2010,2005,1595200,36,2020,,,,17,,420000,2016,"(37.8044, -122.271)",2019-06-06T13:19:47.747,
2018,31446,Taipei City Government,Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2005,2005,13108260,25,2030,,,,6,,2683257,2017,"(25.0375, 121.564)",2019-06-06T13:19:47.747,
2018,59538,City of Mississauga,Mississauga,Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2019,1990,7549508,80,2050,,,,12.5,This target will be approved as part of the Climate Change Action Plan,721599,2016,"(-79.6441, 43.589)",2019-06-06T13:19:47.747,
2018,54444,Mülheim an der Ruhr,Mülheim a.d.R,Germany,Europe,CDP Cities,public,,,,,,,,,,,,,172593,2016,"(51.4186, 6.88452)",2019-06-06T13:19:47.747,38
2018,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,2012,1990,8892000,50,2050,,,,0,,1657200,2017,"(-36.8153, 174.742)",2019-06-06T13:19:47.747,
2018,74569,"King County, WA",King County,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2015,2007,20100000,50,2030,,,,,"2015, increase +1.15%  from baseline",2188649,2017,"(47.548, 121.984)",2019-06-06T13:19:47.747,23
2018,3417,New York City,New York City,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2014,2005,61060000,80,2050,,,,19,,8537673,2016,"(40.7128, -74.0059)",2019-06-06T13:19:47.747,
2018,50558,"City of London, ON","London, ON",Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2014,1990,3430000,37,2030,,,,43,,383822,2016,"(42.9837, -81.2497)",2019-06-06T13:19:47.747,42
2018,50558,"City of London, ON","London, ON",Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2014,1990,3430000,15,2020,,,,100,as of 2016,383822,2016,"(42.9837, -81.2497)",2019-06-06T13:19:47.747,42
2018,35898,Greater Manchester,Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,1990,21200000,48,2020,,,,,See Climate Change and Low Emission Strategies’Whole Place Implementation Plan for Greater Manchester(2016-2020) (attached for detailed actions.,2798800,2017,"(53.4576, -2.15783)",2019-06-06T13:19:47.747,
2018,50396,Prefeitura Municipal de Santos,Santos,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,434742,2017,"(-23.9679, -46.3289)",2019-06-06T13:19:47.747,
2018,50371,Municipalidad de Córdoba,Córdoba,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,1430000,2017,"(-31.4201, -64.1888)",2019-06-06T13:19:47.747,
2018,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Business as usual target,Other: Cleaner electricity supply,2015,2012,20917934,13.9,2030,32811632,,,,,4174510,2017,"(-33.9253, 18.4239)",2019-06-06T13:19:47.747,
2018,60433,City of Hvidovre,Hvidovre,Denmark,Europe,CDP Cities,public,No target,,,,,,,,,,,,52964,2017,"(55.6425, 12.4754)",2019-06-06T13:19:47.747,
2018,61427,Municipality of Nacala,Nacala,Mozambique,Africa,CDP Cities,public,No target,,,,,,,,,,,,241050,2014,"(-14.5656, 40.6854)",2019-06-06T13:19:47.747,
2018,61876,Mazabuka Municipal Council,Mazabuka,Zambia,Africa,CDP Cities,public,,,,,,,,,,,,,182205,2016,"(-15.8613, 27.7491)",2019-06-06T13:19:47.747,206
2018,57641,Wrexham council,Wrexham,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities,public,,,,,,,,,,,,,,0,"(53.0466, -2.9913)",2019-06-06T13:19:47.747,
2018,36254,Comune di Venezia,Venezia,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Residential buildings,2012,2005,527852,10.5,2020,,,,100,energy efficiency measures for energy saving in residential buildings,261905,2016,"(45.4333, 12.3211)",2019-06-06T13:19:47.747,
2018,830907,Prefeitura Municipal de Cotriguaçu,Cotriguaçu,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,,0,"(-9.86825, -58.5544)",2019-06-06T13:19:47.747,176
2018,50553,City of Fresno,Fresno,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2008,1990,,27.2,2020,,,,,Please see attachment,527438,2017,"(36.7468, -119.773)",2019-06-06T13:19:47.747,
2018,50568,City of Saskatoon,Saskatoon,Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,,2014,3852171,15,2023,,,,,,265300,2016,"(52.1332, -106.67)",2019-06-06T13:19:47.747,21
2018,59644,"City of Culver City, CA",Culver City,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2017,2005,,26,2025,,,,,"In 2017, the City joined the Mayors National Climate Action Agenda, which outlined the goal of meeting the promise to cut greenhouse gases 26 to 28 percent below 2005 levels by 2025. Additionally, under AB32, Culver City has the goal of reducing GHG emissions to 1990 levels by 2020 and 80% below 1190 emissions levels by 2050. The city does not currently have data on the base year emissions levels or the target achieved so far. The city will soon begin a greenhouse gas inventory.",39395,2016,"(34.02, -118.4)",2019-06-06T13:19:47.747,
2018,35857,City of Cincinnati,Cincinnati,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2006,9300000,84,2050,,,,,,298800,2016,"(39.1031, -84.512)",2019-06-06T13:19:47.747,46
2018,60207,City of Windhoek,Windhoek,Namibia,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,322500,2011,"(-22.5609, 17.0658)",2019-06-06T13:19:47.747,
2018,31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,"CDP Cities, C40",public,Intensity target,Other: Total,2016,2005,,65,2030,,0,Metric tonnes of CO2e per unit GDP,28,To reduce carbon intensity by 65-75% target by 2030 using 2005 as the base. Base year of 0 is actually 0.025,7391700,2017,"(22.2881, 114.14)",2019-06-06T13:19:47.747,
2018,50368,Municipalidad de Provincial de Arequipa,Arequipa,Peru,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,784651,2007,"(-11.0557, -75.329)",2019-06-06T13:19:47.747,176
2018,31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2013,2005,67326998,20,2020,,,,25.71,"Based on 2005 emissions, the target is:Short-term goal: 2020 greenhouse gas emissions are 20% lower than in 2005.Medium and long-term goals: In line with the temperature control law and the international situation correction, the greenhouse gas emissions in 2050 will be reduced by 50% compared with 2005.",2776912,2017,"(22.6297, 120.344)",2019-06-06T13:19:47.747,
2018,31051,Coventry City Council,Coventry,United Kingdom of Great Britain and Northern Ireland,Europe,CDP Cities,public,Absolute target,,,,0,0,,,,,0,,,0,"(52.4066, -1.51217)",2019-06-06T13:19:47.747,
2018,69967,Alcaldia de Tulua,Tulua,Colombia,Latin America,CDP Cities,public,,,,,,,,,,,,,209086,2017,"(4.08618, -76.1979)",2019-06-06T13:19:47.747,146
2018,59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2010,2005,,15,2020,,,,,,35881,2014,"(33.8889, -118.405)",2019-06-06T13:19:47.747,
2018,63999,"City of Miami Beach, FL",Miami Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,91917,2016,"(25.7906, -80.13)",2019-06-06T13:19:47.747,
2018,35859,City of Cleveland,Cleveland,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2013,2010,12834200,16,2020,,,,3,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.",396815,2010,"(41.4993, -81.6944)",2019-06-06T13:19:47.747,42
2018,50578,City of Windsor,Windsor,Canada,North America,CDP Cities,public,Intensity target,Other: Total,2017,2014,,40,2041,,9,Metric tonnes of CO2e per capita,,Reduce GHG emissions by 40 per cent by 2041 from 8.8t CO2e per capita in 2014.,217188,2016,"(42.3149, -83.0364)",2019-06-06T13:19:47.747,42
2018,1093,City of Atlanta,Atlanta,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Stationary energy (buildings),2015,2009,373867,20,2020,,,,,"Benchmarking and retrofits for buildings larger than 25,000 soft",450182,2017,"(33.749, -84.388)",2019-06-06T13:19:47.747,
2018,54078,City of Hayward,Hayward,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2009,2005,1175665,20,2020,,,,45,Baseline adjusted to include all records used in 2010 and 2015 inventories by adding 2010 figures for public transit and wastewater emissions.,158985,2016,"(37.6689, -122.081)",2019-06-06T13:19:47.747,
2018,831834,CIOESTE,Cioeste,Brazil,Latin America,CDP Cities,public,Business as usual target,,,,,,,,,,,,2500000,2015,"(-23.5114, -46.8729)",2019-06-06T13:19:47.747,
2018,37038,City of Cologne,Cologne,Germany,Europe,CDP Cities,public,,,,,,,,,,,,,1069192,2016,"(50.9414, 6.9583)",2019-06-06T13:19:47.747,38
2018,54066,City of Fort Collins,Fort Collins,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2005,2472391,20,2020,,,,75,,167492,2017,"(40.5853, -105.084)",2019-06-06T13:19:47.747,46
2018,45219,Município de Aparecida,Aparecida,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,36279,2017,"(-20.7, -41.6667)",2019-06-06T13:19:47.747,
2018,54066,City of Fort Collins,Fort Collins,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2005,2472391,80,2030,,,,19,,167492,2017,"(40.5853, -105.084)",2019-06-06T13:19:47.747,46
2018,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Business as usual target,Transportation,2015,2012,20917934,7.2,2030,32811632,,,2.83,Energy only (including aviation and Marine)The percentage target achieved is calculated: 2016 emissions (energy only)/ 2016  BAU -1,4174510,2017,"(-33.9253, 18.4239)",2019-06-06T13:19:47.747,
2018,31157,City of Delhi,Delhi,India,South and West Asia,"CDP Cities, C40",public,Business as usual target,,,,,,,,,,,,15000000,2011,"(28.704, 77.1025)",2019-06-06T13:19:47.747,107
2018,57505,Alcaldía de Panamá,Panamá,Panama,Latin America,CDP Cities,public,Absolute target,Total city-wide emissions,2016,2013,9153301,30,2050,,,,,,1162659,2017,"(9.11862, -79.5552)",2019-06-06T13:19:47.747,
2018,50559,"City of St Catharines, ON",St Catharines,Canada,North America,CDP Cities,public,Intensity target,Total city-wide emissions,2017,1990,,80,2050,,17.7,Metric tonnes of CO2e per capita,69,In progress,131400,2014,"(43.1594, -79.2469)",2019-06-06T13:19:47.747,42
2018,73879,Roskilde,Roskilde,Denmark,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2015,2008,596085,35,2020,,,,29,,87011,2017,"(55.6419, 12.0878)",2019-06-06T13:19:47.747,
2018,49339,City and County of Honolulu,Honolulu,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,992605,2017,"(21.28, 157.59)",2019-06-06T13:19:47.747,
2018,73302,"City of Port Allen, LA",Port Allen,United States of America,North America,CDP Cities,public,Absolute target,,,,,,,,,,,,,0,"(30.4475, -91.2073)",2019-06-06T13:19:47.747,46
2018,60229,Municipality of Arendal,Arendal,Norway,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Intensity target,Total city-wide emissions,2015,1991,,78,2040,,5,Metric tonnes of CO2e per capita,32,,44630,2017,"(58.4618, 8.77245)",2019-06-06T13:19:47.747,
2018,50673,Município de Faro,Faro,Portugal,Europe,CDP Cities,public,Absolute target,,,,,,,,,,,,61073,2016,"(37.0194, -7.93044)",2019-06-06T13:19:47.747,
2018,36279,Comune di Cremona,Cremona,Italy,Europe,CDP Cities,public,,,,,,,,,,,,,,0,"(45.1405, 10.023)",2019-06-06T13:19:47.747,50
2018,35274,"City of Portland, ME","Portland, ME",United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,66937,2017,"(43.6615, -70.2553)",2019-06-06T13:19:47.747,
2018,1184,City of Austin,Austin,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,,2015,2010,14050168,90,2050,,,,4,,1265974,2017,"(30.2672, -97.7431)",2019-06-06T13:19:47.747,101
2018,54443,Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,CDP Cities,public,Absolute target,,,1990,,95,2050,,,,,GHG sources towhich the target applies:CO2-City-wideSolutions of the municipal council,238000,2015,"(52.1205, 11.6276)",2019-06-06T13:19:47.747,36
2018,35858,City of Cape Town,Cape Town,South Africa,Africa,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Business as usual target,Transportation,2015,2012,20917934,11.2,2040,41769979,,,,Energy onlyPercentage achieved same as above 2030,4174510,2017,"(-33.9253, 18.4239)",2019-06-06T13:19:47.747,
2018,68385,Municipio de Chorrera,Chorrera,Panama,Latin America,CDP Cities,public,No target,,,,,,,,,,,,161470,2010,"(8.88289, -79.7736)",2019-06-06T13:19:47.747,
2018,74508,"City of Winona, MN",Winona,United States of America,North America,CDP Cities,public,Absolute target,,2017,2017,,100,2050,,,,,,26928,2017,"(44.0554, -91.6663)",2019-06-06T13:19:47.747,46
2018,50558,"City of London, ON","London, ON",Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2014,1990,3430000,80,2050,,,,20,,383822,2016,"(42.9837, -81.2497)",2019-06-06T13:19:47.747,42
2018,35878,City of Sacramento,Sacramento,United States of America,North America,CDP Cities,public,Absolute target,,,2005,,15,2020,,,,,,495234,2016,"(38.5816, -121.494)",2019-06-06T13:19:47.747,71
2018,74401,"City of Encinitas, CA",Encinitas,United States of America,North America,CDP Cities,public,Absolute target,Other: Water,2018,2012,14299,5,2020,,,,,,63131,2016,"(33.0454, -117.293)",2019-06-06T13:19:47.747,
2018,50672,Município de Santarém,Santarém,Portugal,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,2006,337112,21,2020,,,,,,61200,2011,"(39.2367, -8.68599)",2019-06-06T13:19:47.747,80
2018,50555,City of Hamilton,Hamilton,Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2006,2006,23087326,20,2020,,,,,Targets achieved in 2011.,550700,2015,"(43.25, -79.8661)",2019-06-06T13:19:47.747,42
2018,56276,New Taipei City Government,New Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Waste,,2005,510068,25,2030,,,,,,3986689,2017,"(25.0111, 121.446)",2019-06-06T13:19:47.747,
2018,73301,"City of Gretna, LA",Gretna,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,17935,2017,"(29.9164, -90.0542)",2019-06-06T13:19:47.747,46
2018,74631,Lubumbashi,Lubumbashi,Congo,Africa,CDP Cities,public,No target,,,,,,,,,,,,5652000,2016,"(11.0, -27.0)",2019-06-06T13:19:47.747,
2018,43932,Auckland Council,Auckland,New Zealand,Southeast Asia and Oceania,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,2012,1990,8892000,10,2020,,,,0,10%-20% reduction by 2020,1657200,2017,"(-36.8153, 174.742)",2019-06-06T13:19:47.747,
2018,31165,Stadt Heidelberg,Heidelberg,Germany,Europe,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,2014,1990,915000,95,2050,,,,11,The population of Heidelberg increased by 12 % since 1990. This result in a reduction of per capita emissions of 18 %. This values are calculated following the German Bisko Standard. Therefore they vary from those values calculated following the GPC Standard and reported above,150054,2015,"(49.3988, 8.67243)",2019-06-06T13:19:47.747,38
2018,35268,City of Boston,Boston,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2005,7653810,25,2020,,,,81,"This percent reduction is a tentative estimate, pending final inventory update and release later in 2018.",672840,2016,"(42.3584, -71.0598)",2019-06-06T13:19:47.747,
2018,50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,"CDP Cities, C40",public,,,,,,,,,,,,,4500000,0,"(23.8103, 90.4125)",2019-06-06T13:19:47.747,107
2018,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Transportation,,2015,3004296,,,5293629,,,,,2239191,2010,"(-0.2333, -78.5167)",2019-06-06T13:19:47.747,
2018,31117,City of Toronto,Toronto,Canada,North America,"CDP Cities, C40",public,Absolute target,Total city-wide emissions,,1990,27051617,65,2030,,,,52,,2731571,2016,"(43.6532, -79.3832)",2019-06-06T13:19:47.747,42
2018,60126,Tartu City Council,Tartu,Estonia,Europe,"CDP Cities, Union of the Baltic Cities",public,Absolute target,,,,0,0,,,,,0,,,0,"(58.38, 26.7219)",2019-06-06T13:19:47.747,17
2018,52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,641523,2016,"(-10.9472, -37.0731)",2019-06-06T13:19:47.747,
2018,69834,Municipalidad de General Alvear (Mendoza),"General Alvear, Buenos Aires",Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,46429,2010,"(-34.978, -67.6955)",2019-06-06T13:19:47.747,231
2018,36286,Comune di Ferrara,Ferrara,Italy,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,2007,,25.5,2020,,,,,,133155,2015,"(44.8357, 11.619)",2019-06-06T13:19:47.747,
2018,50579,City of Winnipeg,Winnipeg,Canada,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2015,2011,5379024,6,,,,,,No firm target date or action plan. We are currently soliciting applications from third-party consultants to assist the city with formulating an action plan.,749500,2017,"(49.8997, -97.1375)",2019-06-06T13:19:47.747,21
2018,54633,Prefeitura de Lorena,Lorena,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,87980,2017,"(-22.7339, -45.1201)",2019-06-06T13:19:47.747,
2018,35879,City of Minneapolis,Minneapolis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2013,2006,5173279,80,2050,,,,26,"Minneapolis greenhouse gas (GHG) emissions from citywide activities decreased 20.4% in 2016 compared to the 2006 baseline, continuing a downward trajectory one year after exceeding the 2015 reduction goal of 15%.",419952,2016,"(44.9833, -93.2667)",2019-06-06T13:19:47.747,46
2018,70005,Tauragė,Taurage,Lithuania,Europe,"CDP Cities, Union of the Baltic Cities",public,Intensity target,,,,,,,,,,,,,0,"(55.2522, 22.2897)",2019-06-06T13:19:47.747,25
2018,63941,"Broward County, FL",Broward,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2014,2010,22177409,10,2020,,,,0,"2014 Total: 25,207,287.Will update with 2017 total when available.",1870000,2014,"(26.1901, 80.3659)",2019-06-06T13:19:47.747,107
2018,73240,Tuzla Municipality,Tuzla,Turkey,Europe,CDP Cities,public,,,,,,,,,,,,,235000,2015,"(44.5375, 18.6735)",2019-06-06T13:19:47.747,43
2018,8242,City of Helsinki,Helsinki,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Absolute target,Other,,,,,,,,,,,644700,2017,"(60.1733, 24.941)",2019-06-06T13:19:47.747,
2018,54517,City Örebro,Örebro,Sweden,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF",public,Intensity target,Total city-wide emissions,2014,2000,,100,2045,,7,Metric tonnes of CO2e per capita,33,the target include energy and transport,150291,2017,"(59.2741, 15.2066)",2019-06-06T13:19:47.747,
2018,54681,Prefeitura Municipal de Araçatuba,Araçatuba,Brazil,Latin America,CDP Cities,public,Absolute target,,,,,,,,,,,,194.874,2017,"(-21.2089, -50.4328)",2019-06-06T13:19:47.747,213
2018,31446,Taipei City Government,Taipei,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2005,2005,13108260,50,2050,,,,6,,2683257,2017,"(25.0375, 121.564)",2019-06-06T13:19:47.747,
2018,64014,City of Cupertino,Cupertino,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2015,2010,307288,15,2020,,,,,"In light of more current guidance from OPR or BAAQMD at the time of document preparation, Cupertino has selected a reduction target of 15% below 2010 baseline levels by 2020 as a proxy for a return to 1990 levels.",60777,2017,"(37.323, -122.032)",2019-06-06T13:19:47.747,
2018,63562,"City of South Bend, IN",South Bend,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,102245,2017,"(-86.2532, 41.6754)",2019-06-06T13:19:47.747,
2018,59180,Middelfart Kommune,Middelfart,Denmark,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,2010,362234,50,2025,,,,,,38093,2017,"(55.471, 9.87264)",2019-06-06T13:19:47.747,
2018,831433,Comuna de Ataliva,Ataliva,Argentina,Latin America,CDP Cities,public,,,,,,,,,,,,,2500,2010,"(31.0, 61.0)",2019-06-06T13:19:47.747,
2018,59697,"City of Lake Worth, FL",Lake Worth,United States of America,North America,CDP Cities,public,Intensity target,,,,,,,,,,,,36000,2017,"(26.6168, -80.0684)",2019-06-06T13:19:47.747,
2018,58569,City of Podgorica,Podgorica,Montenegro,Europe,CDP Cities,public,Absolute target,Other: Public lighting,2011,2008,5,20,2020,,,,0,"The city is implementing the Project for replacing existing public lighting with a new more efficient one. However, the expansion of the City results in the installation of new public lighting which leads to a total increase in energy consumption.",185937,2011,"(42.4304, 19.2594)",2019-06-06T13:19:47.747,65
2018,54649,Prefeitura de Tatuí,Tatuí,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,116.296,2017,"(-23.3492, -47.8466)",2019-06-06T13:19:47.747,213
2018,8242,City of Helsinki,Helsinki,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Absolute target,Transportation,2017,2005,624000,69,2035,,,,,"6 % is the current reduction rate, not the percentage of the target achieved",644700,2017,"(60.1733, 24.941)",2019-06-06T13:19:47.747,
2018,832838,Town of Wellfleet,Wellfleet,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,,,,,,,,,,,,,,0,"(41.9305, -70.031)",2019-06-06T13:19:47.747,
2018,50650,City of Gibraltar,Gibraltar,Gibraltar,Europe,CDP Cities,public,Absolute target,,,,,,,,,,,,34408,2016,"(36.1408, -5.35359)",2019-06-06T13:19:47.747,
2018,35877,City of Pittsburgh,Pittsburgh,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,,2003,,20,2025,,,,,In PCAP 1.0 PCI set a target of 20% below 2003 baseline by 2023. We are currently developing more ambitious and specific greenhouse gas reduction targets.,305704,2016,"(40.4406, -79.9959)",2019-06-06T13:19:47.747,46
2018,74443,"City of Clinton, IA",Clinton,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,26885,2010,"(41.839, -90.192)",2019-06-06T13:19:47.747,46
2018,59166,Municipalidad de Independencia,Independencia,Chile,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,83059,2015,"(-32.8421, -68.8154)",2019-06-06T13:19:47.747,231
2018,70017,Alcaldia de Palmira,Palmira,Colombia,Latin America,CDP Cities,public,No target,,,,,,,,,,,,308671,2017,"(3.53944, -76.3036)",2019-06-06T13:19:47.747,146
2018,60114,City of Gdynia,Gdynia,Poland,Europe,"CDP Cities, Union of the Baltic Cities",public,Absolute target,Total city-wide emissions,,1999,,20,2020,,,,,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14,4 MW.",246306,2017,"(54.5189, 18.5305)",2019-06-06T13:19:47.747,29
2018,60272,Prefeitura de Campina Grande,Campina Grande,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,410.332,2017,"(-7.2291, -35.8808)",2019-06-06T13:19:47.747,
2018,58610,Municipality of Hjørring,Hjørring,Denmark,Europe,CDP Cities,public,Absolute target,,,,,,,,,,,,,0,"(57.4568, 9.9958)",2019-06-06T13:19:47.747,
