State or region,Country,Region,Access,Years disclosed,Population,Population year,Accounting year,Boundary,Inventory externally verified?,Primary protocol/methodology,Comment on protocol/methodology,Gases included: CO2,Gases included: CH4,Gases included: N2O,Gases included: HFCs,Gases included: PFCs,Gases included: SF6,Gases included:NF3,Reported total emissions,Location,Water 2014 - Number of drivers
Quebec,Canada,North America,Public,2016 and 2017,8326089,2016,2014,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The GHG inventory is compiled according to the methodology used to report to the United Nations Framework Climate Change Convention. However, the categories to report the data vary slightly in order to facilitate the analysis of the evolution of the GHG emissions. For example, the Transportation activities are reported separately while it is integrated into the Energy category for the UNFCCC. The GHG emissions are reported under the following sectors to help support policy analysis and formulation: Electricity generation Transportation Industrial (combustion and processes) Residential Commercial and Institutional Waste Agriculture It is important to note that the GHG emissions are reviewed on a yearly basis. The sectoral and total emissions therefore change each year for the whole time series going back to 1990 to include additional statistical data unavailable before, revisions on energy consumption estimates or new or revised calculation methods.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),82076000,"(52.93943, -73.5491)",
Lower Austria,Austria,Europe,Public,2016 and 2017,1653691,2016,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"reporting format according to the UNFCCC guidelines on reporting and Review, the common reporting format (CRF), the IPCC 2006 guidelines, the IPCC good practice guidance and uncertainty management",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),18179000,"(48.109, 15.805)",43
Wallonia,Belgium,Europe,Public,2017,3589744,2015,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,We follow the guidances from IPCC,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),36457981,"(50.4191, 4.451)",39
Provence-Alpes-Cote-d’Azur,France,Europe,Public,2016,5000000,2014,2013,Geopolitical Boundary,Yes,Other,"Other: Our own due to the large disparity of the data sources. Compilation of direct sources (industries,...), estimated sources (national inventories,...) and measured sources (traffic,...). The imported electricity is not counted as emissions: we just include the emissions of the power plants implanted in the territory.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,33000000,"(43.9352, 6.0679)",49
Australian Capital Territory,Australia,Asia Pacific,Public,2016 and 2017,400000,2016,2016,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"While the ACT Government receives emissions data from the national data base each year from the Australian Government, which is consistent with the IPCC guidelines, this does not always disaggregate at a small enough scale for the ACT. Therefore the ACT Government is required to record ACT scale electricity, gas, transport and waste data, that is not provided at the right level of detail by the national government.   A single utility company provides gas and electricity to the territory, and supply is calculated directly from their data base including purchase information and transmission loss. Renewable electricity percentage is calculated based on the number of Large-scale Generation Certificates the ACT owns under the operating agreements for the feed-in tariff arrangements even though the generation occurs outside of the jurisdiction. Also counted are the ACT's share of the national renewable energy target, its generation of rooftop solar electricity as well as its voluntary purchases of renewable electricity.    Transport is based on fuel sales data from fuel retailers and known depots.   Waste is based on landfill audits to estimate waste composition. The figures are put through the national waste emissions calculator to provide a figure for landfill emissions  Industry emissions are taken from national accounts, but as the data is 2 years in arrears, a linear equation is applied to estimate current year amounts. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),,SF6 (Sulfur hexfluoride),,4047000,"(-35.2982, 149.128684)",228
Nord Trondelag,Norway,Europe,Public,2016 and 2017,136400,2015,2012,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,No information disclosed,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),1207000,"(64.4393, 11.7463)",
Andalusia,Spain,Europe,Public,2016 and 2017,8393575,2015,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The regional inventory is calculated from a territorial disaggregation of the National GHG Emissions Inventory that Spain reports to the European Commission and the UNFCC. Additionally, we have used a specific tool to calculate municipal emissions inventories, which also tests the disaggregation of the national inventory.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,52310000,"(37.5494, -4.7278)",87
South Holland,Netherlands,Europe,Public,2016 and 2017,3600000,2015,2013,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The province of South Holland applies scope 1 from the internationallly, widely used GHG protocol. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,46500000,"(52.029, 4.4938)",
South Australia,Australia,Asia Pacific,Public,2016 and 2017,1708135,2016,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"South Australia's emissions inventory is prepared as a subset of Australia's National Inventory along with those for Australia's other States and Territories. The inventory for 2014/15 has been prepared in accordance with the International Guidelines agreed for the use at the Conference of Parties (COP) of the United Nations Framework Convention on Climate Change (UNFCCC) in Warsaw in 2013. These include the Intergovernmental Panel on Climate Change (IPCC) Guidelines for National Greenhouse Gas Inventories (2006), and the Revised Supplementary Methods and Good Practice Guidance Arising from the Kyoto Protocol (2013). In addition, South Australia reports on emissions associated with net electricity imports from Victoria. Total imports in 2015-16 was 2,227 GWh which is the highest import in 10 years of 6% increase since 2006-07. Combined interconnector net imports (total imports less exports) were 1,941 GWh in 2015/16.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,32303000,"(-34.992, 138.599959)",228
Brittany,France,Europe,Public,2016 and 2017,3310341,2016,2010,Geopolitical Boundary,No,Other,"Other: Modelization Ener'GES (GIP Bretagne environnement http://bretagne-environnement.org/). The results are based on statistical data from national sources and studies. The parameters are additive, the results are obtained by the addition of the energy consumption and the emissions of all the municipalities of Britanny. GHG emissions issued from waste processing are attributed to the place of production of waste GHG emissions issued from energy production are attributed to energy consumers.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),,,,24500000,"(48.2092, -2.9326)",
Baja California,Mexico,Latin America,Public,2017,3155070,2010,2011,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,The GHG inventory was developed under protocols stablished by the Mexican National GHG Protocols of the Instituto Nacional de Ecologia y Cambio Climatico (Mexico).,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,16100000,"(30.8492, -115.2838)",
KwaZulu-Natal,South Africa,Africa,Public,2016 and 2017,11000000,2016,2013,Geopolitical Boundary,No,International Emissions Analysis Protocol (ICLEI),"Main Protocol used: The protocols are designed to provide a standardized set of guidelines to assist local governments in quantifying and reporting GHG emissions associated with their government and community operations. Both protocols are based upon the Corporate GHG Protocol developed by the World Resources Institute (WRI) and the World Business Council for Sustainable Development (WBCSD) as well as technical guidance provided by the United Nations Intergovernmental Panel on Climate Change (IPCC). Methods of calculation: Use of Activity Data, Emission factors, and Conversion factors ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,SF6 (Sulfur hexfluoride),,31091837,"(-28.591, 30.8958)",
Ucayali,Peru,Latin America,Public,2017,495522,2010,2014,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"In 2001, Peru prepared and submitted its First National Communication to the United Nations Secretariat of the Framework Convention on Climate Change, which includes the National Inventory of Greenhouse Gases (GHG), with base year 1994. As As a result of this inventory, it was determined that the main source of carbon dioxide emission originated in the non-energy sector (deforestation); Likewise, the projections indicated that 2020 would be one of the main emission sources for the energy sector (transport sector). The National Communication also included information on Peru's Vulnerability, from an analysis based on the impacts of the El Niño phenomenon. This information made it possible to see the impacts of vulnerable sectors and zones during El Niño in 1997-98, as well as the imminent retreat of glaciers that has occurred in the last 30 years in the Cordillera Blanca and that would compromise the availability of water in a Future in the distant future. In 2010, Peru presented ""Peru and Climate Change: Second National Communication on Climate Change"", containing the National Inventory of GHGs with base year 2000, where it was determined that 47% of GHG emissions come from the Change Sector Of Land Use and Forestry (USCUSS), that is, deforestation in the Amazon. Likewise, results on the vulnerability of Peru are included on the basis of four vulnerability and adaptation assessments in sectors (Water, Agriculture, Energy and Transport) and prioritized basins (river basins). Implementation of the Environmental Management System Piura, Mantaro, Santa and Mayo); An approximation of the surface water availability in basins with glacial component, due to the rapid retreat of these; Proposal for Strengthening the National Climate Observing System; Updating of the Research Agenda on Climate Change, and a proposal for policy guidelines for Adaptation and Mitigation of Climate Change. At present, Peru has the National Climate Change Strategy approved by D.S. 086-2003-PCM, which establishes its mandatory compliance and incorporation into sectoral and regional policies, plans and programs. The ENCC was developed on the basis of the Tenth and Ninth State Policies of the National Agreement related to Poverty Reduction and Sustainable Development / Environmental Management, respectively. The overall objective of the Strategy is to reduce adverse impacts to climate change through integrated vulnerability and adaptation studies that will identify vulnerable areas and / or sectors in the country where adaptation projects will be implemented. Controlling emissions of local pollutants and GHGs through renewable energy and energy efficiency programs in the various productive sectors "", and has eleven strategic lines of action, with the aim of establishing the framework of all policies and activities That are developed and related to climate change in Peru. In the development of national policies and initiatives in the face of climate change, focused from various contexts such as conservation, natural resource management and others, Peru have regulated some national guidelines.",CO2 (Carbon dioxide),CH4 (Methane),,,,,,124109,"(-9.8297, -73.0877)",176
Drenthe,Netherlands,Europe,Public,2016,488670,2015,2013,Geopolitical Boundary,No,1996 IPCC Guidelines for National Greenhouse Gas Inventories,No knowledge of this subject. Has been done by an external advisor (ECN) ,CO2 (Carbon dioxide),,N2O (Nitrous oxide),,,,,5000000,"(52.9494, 6.6231)",
Northwest Territories,Canada,North America,Public,2016 and 2017,44204,2016,2014,Geopolitical Boundary,No,The Climate Registry General Reporting Protocol,Region-wide inventories are prepared in collaboration with Environment and Climate Change Canada.  The GNWT corporate emissions use utility data from the Government of the Northwest Territories' System for Accountability and Management (SAM) database to calculate the emissions from GNWT operations using The Climate Registry (TCR) protocol. The GNWT has prepared a GHG inventory since the 2011 calendar year for submission to TCR to report on the target adopted in 2011.,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,1440520,"(64.8294, -124.8457)",5
Lombardy,Italy,Europe,Public,2016 and 2017,10008349,2016,2015,Geopolitical Boundary,No,Other,"Other: The core of the methodology is the 2006 IPCC Guidelines for National Greenhouse Gas Inventories. These guidelines are implemented in the Lombardy regional atmospheric emission inventory - INEMAR (INventario EMissioni ARia). This system has been developed within the framework of the Regional Air Quality Plan and is being managed since 2002 by the Regional Environmental protection Agency (ARPA Lombardia). ARPA Lombardia carries on the management and the update of the regional emission inventory, according to the Regional Law n.24/2006. The huge amount of data collected in the INEMAR system consists in activity indicators (e.g. fuel consumption, incinerated waste, etc.), emission factors, and statistical data necessary for the spatial and temporal disaggregation of the emissions. With INEMAR system, the emission inventories has been developed for the years 2001, 2003, 2005, 2008, 2010, 2012 and 2014 for GHGs (CO2, CH4, N2O), as well as for the main pollutants (SO2, NOx, NMVOC, CO, NH3, PM2.5, PM10, TSP). For the more recent editions, estimates on micro-pollutants like heavy metals and PAHs are also regularly updated. Emission of the three main fluorinated GHGs (HFCs, PFCs and SF6) and CO2 absorptions by forests (sinks) have been also assessed from the 2008 inventory; organic and elemental carbon (OC, BC) emissions have been estimated for the 2010, 2012 and 2014 inventories. According to the ARPA activity plan the most recent detailed release of the inventory is based on year 2014. The current detailed edition is now under public review at a very high level of detail, for each pollutant, around 255 activities 35 fuel types and for all the municipalities of Lombardy. In order to best monitoring the environmental performances of Lombardy a regional emission estimate, not detailed for all the municipalities, for accounting year 2015 has been developed and here presented. The estimates for 2015 are then provided as preliminary projection to be consolidated after the development of the detailed version of inventory. Previous estimates on 2014, presented last year, are also recalculated. Total amount estimates and detailed estimates are reported in the updated time series in annex 1.  The GHGs considered for the reporting in this Compact of States and Regions are CO2, CH4, N2O. CO2 equivalent (CO2e) emissions are estimated through the use of the Global Warming Potentials (GWP) proposed in the IPCC Fourth Assessment Report. The methodologies used for the assessment of direct emissions are consistent with those carried out by the National Environmental Protection Agency (ISPRA) for the National emission inventory, and are based on the IPCC Guidelines. Some differences exist for some activities (i.e. in the agriculture sector) due to different assumption on emission factors at local level. These differences doesn't have a significant impact on the total regional emissions. The split of GHGs emissions in different sectors is reported in the Annex 1. CO2e emissions from power consumption have been assessed indirectly, as ""Scope 2"" emission, through the product between the total consumption of electricity in the region (thus also the electricity imported) and the average CO2e emission factor for power generation in the region. The emission factor for power generation has been assessed by the ratio between all CO2e emissions related to electricity production in Lombardy (thermoelectric fossil fuels combustion and non-renewable share of waste burnt in waste-to-energy plants) and all electricity produced in Lombardy, including renewable energy.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,76400000,"(45.46912, 9.185924)",50
Veneto,Italy,Europe,Public,2016 and 2017,4915123,2016,2013,Geopolitical Boundary,Yes,Other,Other: EMEP EEA. https://www.eea.europa.eu/publications/emep-eea-guidebook-2016,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,275430000,"(45.769, 11.691)",
California,USA,North America,Public,2016 and 2017,39200000,2016,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The California GHG inventory follows the IPCC guidelines for emission inventories. The guidelines describe various methodologies to estimate emissions and allow for use of State-specific data and methodologies. Data collected through California's Mandatory Reporting of Greenhouse Gas Emissions (MRR) program provides third-party verified fuel through-put and emissions data at the facility- and entity-level. For other emission sources not subject to MRR, California Air Resources Board (CARB) draws data from various State and federal government agencies in estimating emissions. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),440356275,"(38.5893, -121.4944)",71
Washington,USA,North America,Public,2016 and 2017,7183700,2016,2013,Geopolitical Boundary,No,"U.S. EPA Greenhouse Gas Reporting Program (includes US EPA SIT, FLIGHT tool...)","The inventory is developed using EPA State Inventory tool. It relies on WA specific data and input (i.e., for electricity sector used fuel mix disclosure data provided by utilities, also the Energy information Administration's data for fuels). The inventory is consumption-based for the electricity sector only. It accounts for the electricity consumed in-state regardless of whether the power was generated in- or out-of-state. Link to previous Washington GHG inventories http://www.ecy.wa.gov/climatechange/ghg_inventory.htm ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),94400000,"(47.039, -122.900695)",
La Reunion,France,Europe,Public,2017,850996,2016,2014,Geopolitical Boundary,No,Other,"Other: National System for Atmospheric Pollutant Emissons and Assessment (SNIEPA). By convention, the GES linked to the fossil fuels emissions are expressed in CO2. Carbon emission through different chemical forms (CO, CH4, COVNM, etc.) is assimilated to CO2 In order to determine the relative impact of each pollutant , an indicator was defined, the Global Warming Potential (GWP). This is the radiative effect of a pollutant integrated on a 100 years period. For the CO2 the GWP is set to 1. The warming power of the 6 major pollutants, designed by the Kyoto protocol, is calculated using the GWP of each chemical substance expressed in equivalent CO2",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,4900000,"(-21.194, 55.5364)",
Basel-Landschaft,Switzerland,Europe,Public,2017,286923,2016,2014,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Data is based on the cantonal energy statistics which compromises all energy flows within the geopolitical boundaries (including imported energy). For grid-bound energy sources (electricity, natural gas, long-distance heating), the collected data represents measured energy use on the basis of individual buildings. Data for non-grid-bound energy sources (fuel oil, biomass, etc.) is both, collected from energy producers (for power plants > 1 MW) and estimated for individual buildings on the basis of region- and building-specific heating factors. Estimations are based on the cantonal Register of Buildings and Dwellings. Imported electricity: So far, emissions have not been taken into account, as nearly 100% of the imported electricity is produced by nuclear power or renewable energy sources. It is planned to revise the methodology in this respect with regard to the liberalization of the Swiss electricity market.",CO2 (Carbon dioxide),,,,,,,1286831,"(47.4492, 7.7644)",38
Thuringia,Germany,Europe,Public,2017,2170714,2015,2013,Geopolitical Boundary,No,Other,"Other:oriented towards 2006 IPCC, see 3.4. The CO2 emissions of the federal states in Germany are calculated and published according to an agreed methodology (framework of the ""Länderarbeitskreis Energiebilanzen"" http: /www.lak-energiebilanzen.de). With results on the CH4 and N2O emissions there are comparable data for the federal states on the level of total greenhouse gas emissions. ( http://www.ugrdl.de/tab31.htm). The calculations at country level are based on the approach of the Federal Environmental Agency.  The report (see 2.3) has been conducted externally. The general methodology is a geopolitical boundary, which excludes eletricity imported to the territory. This is particular important, because of a major share of electricity has been imported. It refers to the 2006 IPCC guidelines. This type will only be reportet every 5 years. Thats why we generally refer to the ""Länderarbeitskreis Energiebilanzen"" ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,13237000,"(51.0191, 10.8453)",36
Vermont,USA,North America,Public,2016,626138,2012,2012,Geopolitical Boundary,No,"U.S. EPA Greenhouse Gas Reporting Program (includes US EPA SIT, FLIGHT tool...)",-The US EPA State Inventory Tool (SIT) is used as the primary tool to produce estimates of GHG emissions from the following sectors in Vermont: Residential / Commercial / Industrial; Fossil Fuel Industry; Agriculture; Industrial Processes; Transportation ,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,8269000,"(44.5597, -72.5778)",42
North Rhine-Westphalia,Germany,Europe,Public,2016 and 2017,17870000,2015,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Calculations for the North Rhine-Westphalian greenhouse gas emission inventory are based on the IPCC-Guidelines 2006. Main basic data for the inventory are - the annual emission reports from installations under the EU emission trading system, - emission declarations of installations under the German Federal Immission Control Act (Bundes-Immissionsschutzgesetz, BImSchG), - PRTR-reports, - the German National Inventory Report on greenhouse gas emissions according to the United Nations framework convention on climate change, - other statistics like e.g. energy balances for Germany and North Rhine Westphalia or production statistics.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),285388000,"(51.439, 7.6616)",
British Columbia,Canada,North America,Public,2016 and 2017,4773345,2016,2014,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Canada's national GHG emissions inventory system has been established under authority of the Canadian Environmental Protection Act (CEPA) and meets terms of the United Nations Framework Convention on Climate Change (UNFCCC). The UNFCCC sets out reporting categories and methodologies for estimating emissions and removals of specified GHGs. The ministry supports federal agencies responsible for preparation of the National Inventory Report to develop current and scientifically rigorous best practices and methodologies for GHG quantification, consistent with international standards and practices. For detailed information regarding methodologies and protocols for emissions reporting and recalculation, please refer to the extensive set of background and methodological documents provided on the Environment Canada GHG website.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,64464000,"(48.4292, -123.365644)",
North Brabant,Netherlands ,Europe,Public,2016 and 2017,2500000,2016,2015,Geopolitical Boundary,No,Other,Other: dutch CBS: central bureau of statistics. The CBS follows the european rules ,CO2 (Carbon dioxide),,,,,,,21829362,"(51.4896, 5.2322)",40
Sao Paulo,Brazil,Latin America,Public,2016 and 2017,44035304,2014,2013,Other: Energy sector - predominant sector and updated yearly ,No,1996 IPCC Guidelines for National Greenhouse Gas Inventories,No information disclosed,CO2 (Carbon dioxide),,,,,,,94755080,"(-23.591, -46.6292)",
Jamtland,Sweden,Europe,Public,2016 and 2017,128000,2016,2011,Geopolitical Boundary,Yes,Other,Other: Statistic Sweden. We can not answer that question. Altough Statistic Sweden is doing this in the same way for all regions in Sweden.,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),880000,"(63.17915, 14.9592)",
Blekinge,Sweden,Europe,Public,2016 and 2017,154000,2016,2014,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The information in the database has its origin in: â€¢ Sweden's reporting to the UNFCCC and air pollution Convention â€¢ Geographical distribution of the total emissions Sweden reports - The total GHG-emissions for Blekinge County for year 2014 were 614 000 ton GHG - according to RUS (http://www.airviro.smhi.se/RUS/emistrend.htm) The database is based on Sweden's official emissions statistics, as reported, inter alia, to the UNFCCC and air pollution Convention. Emissions of Sweden has been allocated over the country in a grid of squares corresponds to 1 km2. The distribution is done by relevant statistics and geographic data, such as roads, pastures, harvested wood, population data.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),614086,"(56.2798, 15.018)",
Baden Wurttemberg,Germany,Europe,Public,2016 and 2017,10800000,2015,2014,Geopolitical Boundary,No,1996 IPCC Guidelines for National Greenhouse Gas Inventories,The account of emissions is done by the statistic office of Baden-Wuerttemberg. It is leaned on the methods of the national inventory report (NIR) by the Federal Environment Agency. A Working Group of the german states specify the accounting principals. The balance is made by the principles of their sources and that the emissions are registered where they are produced. This means e.g. that by the consumption of power produced outside of Baden-Wuerttemberg caused indirect emissions remain unconsidered. With regard to the energy-related emissions a further view on the originator is offered. For that matter the indirectly CO2-emissions of the power and heat consumption are pro-rata added.,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,76000000,"(48.6691, 9.3501)",38
Hesse,Germany,Europe,Public,2016 and 2017,6176172,2015,2012,Geopolitical Boundary,No,Other,Other: Page 12 is about the methodology used for making up the Hessian GHG-balance. http://www.hlnug.de/fileadmin/dokumente/klima/monitor/THG_Bilanz.pdf. Model based calculation,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,37352000,"(50.6591, 9.1624)",35
Manitoba,Canada,North America,Public,2016 and 2017,1282043,2014,2014,Other: Province-wide,No,Other,"Other: National Inventory Report of Environment Canada which is consistent with the UNFCCC/IPCC reporting guidelines for national GHG inventories. We do not account for imported or exported electricity in the provincial GHG inventory, but we do have inventory data for Manitoba's exported clean electricity.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),21500000,"(53.7695, -98.8139)",21
Navarra,Spain,Europe,Public,2017,640647,2016,2015,Geopolitical Boundary,No,Other,"Other: We have used a internal methodology and we have applied the 2006 IPCC emission factors. We distinguish the different IPCC emission categories: Energy, Industrial Processes and other Product Use, Agriculture and Waste Management.  The emissions for the Energy sector are calculated according to the following subsectors: -	Public electricity and heat production:  o	The ETS installations emissions are taken from the verified annual reports o	The biomass and biogas installation emissions are calculated with the IPCC EF and the fuel consumption.  -	Combustion in industry. It includes the CHP plants emissions.  o	The ETS installations emissions are taken from the verified annual reports. o	We use the fuels consumption data from the Energy Balance and we apply the IPCC EF  -	Road transport: We use traffic data from the Transports Department and different EF depending on the vehicle type.  -	Combustion in other sectors: We use the fuels consumption information from the Energy Balance. -	Fugitive emissions from fuels: We apply EF to the natural gas consumption  The emissions from the IPPU sector are calculated according to the following subsector:  -	Mineral products: Decarbonation emissions from cement, glass, lime and magnesite production. All the installations are included in ETS and we take the data from the annual reports -	Fluorinated gases use. We take the data from the Spanish Inventory, we don not carry out specific inventory.   The emissions from Agriculture sector are calculated according to the following subsectors:  -	Enteric fermentation: We use information about the cattle herd and we apply the IPCC 2006 EF -	Manure management: We use information about the cattle herd and we apply the IPCC 2006 EF -	Agricultural soils: We appy IPCC methodology and EF -	Rice cultivation: We appy IPCC methodology and EF to the rice cultivated area  The emissions from Waste sector are calculated according to the following subsectors:  -	Emissions from solid waste disposal: We consider the amount of landfilled organic wastes and calculate the emissions from each dumping site depending on the methane recovery and flaring systems. -	Emissions from wastewater treatment and discharge: We apply the IPPC EF to the domestic wastewater and pulp and paper sector waste water  The emissions from electricity generation are calculated depending on whether electricity is imported or exported. From 2005 onwards Navarre export electricity and we consider the emissions from exported electricity substracting them from the direct emissions. Thus we produce a double inventory: direct emissions, (emissions generated within Navarre boundaries) and total emissions (direct emissions minus emissions from exported electricity) ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,5176013,"(42.6997, -1.6761)",62
